doc_id,terms
12292,699,"['rok', 'lt', 'udalosť', 'gt', 'narodenie', 'haníf', 'islamský', 'učenec', 'kategória', 'kategória', 'rok']"
4436,8. január,"['deň', 'rok', 'severina', 'prvý', 'meno', 'severina', 'udalosť', 'monako', 'štát', 'monako', 'získať', 'nezávislosť', 'francúzska', 'ľudovít', 'xia', 'oženiť', 'anny', 'bretónsko', 'bretónska', 'splašený', 'kôň', 'bojovník', 'bojovať', 'posledný', 'bitka', 'americký', 'kavaléria', 'mountain', 'územie', 'štát', 'montany', 'montany', 'ovládnutie', 'fidieť', 'castro', 'fidelý', 'castrum', 'zavŕšený', 'dobytie', 'santiago', 'de', 'cubať', 'santiaga', 'de', 'cubať', 'obraz', 'da', 'vinec', 'leonarda', 'da', 'vinec', 'mony', 'prvý', 'raz', 'vystavený', 'spojený', 'štát', 'nationať', 'gallera', 'of', 'washingtone', 'vypustený', 'sonda', 'luny', 'americký', 'poštový', 'služba', 'vydať', 'cent', 'americký', 'dolár', 'centový', 'známky', 'presley', 'elvisa', 'presley', 'ruský', 'kozmonaut', 'valeriť', 'vladimirovič', 'poľak', 'loď', 'sojuz', 'odštartovať', 'dňový', 'pobyt', 'stanica', 'mir', 'britský', 'kráľovná', 'ia', 'pokrstiť', 'queen', 'mar', 'veľký', 'osobný', 'loď', 'história', 'narodenie', 'súbor', 'stephen', 'hawking', 'súbor', 'david', 'silvo', 'euro', 'finať', 'jpg', 'thumb', 'upright', 'silvo', 'samuieť', 'freiherr', 'von', 'pufendorf', 'nemecký', 'právnik', 'historik', 'vasiliť', 'petrovič', 'botkin', 'ruský', 'publicista', 'kritik', 'wilkie', 'collins', 'britský', 'spisovateľ', 'medek', 'český', 'spisovateľ', 'walther', 'nemecký', 'fyzik', 'zoznam', 'nositeľ', 'nobelový', 'cena', 'fyzika', 'nobelový', 'cena', 'ladislav', 'architekt', 'ladislav', 'eduard', 'hudec', 'slovenský', 'architekt', 'georgij', 'maximilianovič', 'malenok', 'sovietsky', 'politik', 'očenáš', 'slovenský', 'hudobný', 'skladateľ', 'josý', 'ferrer', 'portorický', 'herec', 'horecký', 'slovenský', 'jazykovedec', 'bryci', 'dewitt', 'americký', 'teoretický', 'fyzik', 'pavieť', 'koyš', 'slovenský', 'básnik', 'redaktor', 'marsý', 'španielsky', 'spisovateľ', 'novinár', 'scenárista', 'anquetiť', 'francúzska', 'cyklista', 'ripleyový', 'americký', 'spisovateľka', 'cipár', 'slovenský', 'maliar', 'grafik', 'sochár', 'presley', 'americký', 'spevák', 'shirley', 'bassea', 'britský', 'speváčka', 'turok', 'slovenský', 'dramatik', 'dramaturg', 'kultúrny', 'pracovník', 'rusínsky', 'pôvod', 'hawking', 'britský', 'teoretický', 'fyzik', 'koizu', 'japonský', 'politik', 'terry', 'americký', 'spisovateľ', 'fantas', 'robba', 'krieger', 'americký', 'hudobník', 'david', 'bowie', 'britský', 'hudobník', 'marián', 'slovák', 'slovenský', 'herec', 'šťastný', 'slovenský', 'hokejista', 'jiřý', 'růžička', 'český', 'herec', 'scenárista', 'paúť', 'hester', 'austrálska', 'hudobník', 'hous', 'kella', 'americký', 'spevák', 'slovenský', 'hokejista', 'paul', 'jamajský', 'spevák', 'srinath', 'prahlad', 'indický', 'tenista', 'gerem', 'gonzález', 'venezuelský', 'bejzbalista', 'dubina', 'pápežský', 'ceremoniár', 'stefano', 'mauri', 'taliansky', 'futbalista', 'nča', 'ťin', 'wý', 'taiwanský', 'tenistok', 'silvo', 'španielsky', 'futbalista', 'čínsko', 'tenistok', 'úmrtie', 'súbor', 'marco', 'polo', 'portrait', 'thumb', 'upright', 'marco', 'polo', 'súbor', 'dienstbier', 'thumb', 'upright', 'jiřiť', 'dienstbier', 'jiřý', 'dienstbier', 'edgar', 'edgar', 'škótsky', 'kráľ', 'celestina', 'marco', 'polo', 'benátsky', 'kupec', 'cestovateľ', 'giotto', 'bondone', 'taliansky', 'maliar', 'galileo', 'galile', 'taliansky', 'fyzik', 'astronó', 'matematik', 'möser', 'nemecký', 'právnik', 'spisovateľ', 'historik', 'paúť', 'francúzska', 'básnik', 'robert', 'powelť', 'britský', 'vojak', 'zakladateliť', 'skauting', 'doust', 'curtis', 'americký', 'astronó', 'joseph', 'schumpeter', 'americký', 'ekonó', 'rakúsky', 'pôvod', 'blahoslavený', 'titus', 'slovenský', 'rímskokatolícka', 'kňaz', 'obeť', 'komunizmus', 'laj', 'čínsky', 'politik', 'štátnik', 'gerhard', 'nemecký', 'stíhací', 'pilot', 'clark', 'anglický', 'gitarista', 'francúzsko', 'melvin', 'calvin', 'americký', 'chemik', 'biochemik', 'michajlovič', 'prochor', 'ruský', 'fyzik', 'michieť', 'thomas', 'poľský', 'polyglot', 'lingvista', 'učiteľ', 'jazyk', 'andrý', 'bystrana', 'slovenský', 'operný', 'spevák', 'bas', 'mimmo', 'rotelť', 'taliansky', 'maliar', 'iwao', 'americký', 'animátor', 'jiřý', 'dienstbier', 'jiřý', 'dienstbier', 'český', 'politik', 'novinár', 'ondruť', 'slovenský', 'jazykovedec', 'akbar', 'hášimiť', 'rafsandžáný', 'iránsky', 'prezident', 'hedviga', 'bystrický', 'slovenský', 'vysokoškolský', 'pedagogička', 'vojtě', 'lindaur', 'český', 'hudobný', 'publicista', 'mesiaci', 'kategória', 'kategória', 'kategória', 'deň']"
9838,1386,"['rok', 'udalosť', 'benátčanie', 'prevziať', 'vláda', 'ostrový', 'korfa', 'narodenie', 'jún', 'ján', 'kapistránska', 'taliansky', 'svätec', 'úmrtie', 'karnúť', 'ii', 'karnúť', 'ii', 'neapolský', 'uhorský', 'kráľ', 'júť', 'leopold', 'iii', 'habsburský', 'vojvoda', 'rakúsky', 'korutanský', 'štajerský', 'júl', 'mikulať', 'gorjanský', 'uhorský', 'palatin', 'bratislavský', 'nžupa', 'september', 'nda', 'valašský', 'knieža', 'kategória', 'kategória', 'rok']"
12406,814,"['rok', 'udalosť', 'vláda', 'vláda', 'karnúť', 'veľký', 'karola', 'veľký', 'cisár', 'západofranský', 'ríša', 'západofranský', 'ríša', 'lt', 'narodenie', 'gt', 'úmrtie', 'karnúť', 'veľký', 'kráľ', 'franok', 'apríť', 'kru', 'chán', 'bulhary', 'kategória', 'kategória', 'rok']"
8452,Mjanmarsko,"['infobox', 'štát', 'celý', 'názov', 'mjanmarský', 'zväzový', 'republika', 'pád', 'názov', 'mjanmarsky', 'vlajka', 'myanmar', 'znak', 'stať', 'seať', 'of', 'myanmar', 'burma', 'myanmar', 'svg', 'hymny', 'kaba', 'kye', 'lt', 'gt', 'quot', 'koniec', 'svet', 'quot', 'dlhý', 'miestny', 'názov', 'py', 'daung', 'myan', 'pjijtchauns', 'mjanma', 'nainngamto', 'krátky', 'miestny', 'názov', 'nmya', 'pyij', 'hlavný', 'mesto', 'nay', 'py', 'šírkast', 'šírkamin', 'šírkasj', 'dĺžkast', 'dĺžkamin', 'dĺžkavz', 'veľký', 'mesto', 'úradný', 'jazyk', 'barmčina', 'štátny', 'zriadenie', 'unitárny', 'štát', 'unitárny', 'republika', 'vojenský', 'diktatúra', 'vojenský', 'juntý', 'funkcia', 'politický', 'predstaviteľ', 'politický', 'predstaviteľ', 'myint', 'swy', 'lt', 'br', 'gt', 'min', 'aung', 'hlaing', 'lt', 'br', 'gt', 'soe', 'win', 'vznik', 'spojený', 'kráľovstvo', 'susedie', 'indiť', 'čína', 'bangladéť', 'rozloha', 'poradie', 'rozloha', 'rozloha', 'voda', 'voda', 'sčítanie', 'počet', 'obyvateľ', 'rka', 'sčítanie', 'počet', 'obyvateľ', 'hustota', 'obyvateľstvo', 'poradie', 'hustota', 'hdp', 'rok', 'hdp', 'pks', 'poradie', 'hdp', 'hlava', 'poradí', 'hdp', 'hlava', 'hdiť', 'rok', 'poradie', 'hdiť', 'kategória', 'hd', 'stredný', 'meno', 'kyat', 'mena', 'mmk', 'časový', 'mmt', 'utc', 'letný', 'čas', 'zmeny', 'utc', 'posun', 'medzinárodný', 'kóda', 'mmr', 'mť', 'motorový', 'vozidlo', 'internetový', 'domén', 'mť', 'smerový', 'telefónna', 'číslo', 'poznámka', 'mjanmarsko', 'dlhý', 'tvar', 'mjanmarský', 'zväzový', 'republika', 'názov', 'pozrieť', 'nízko', 'štát', 'ázia', 'ázia', 'hlavný', 'nay', 'py', 'jesene', 'hlavný', 'mesto', 'názov', 'štát', 'pôvodný', 'názov', 'štát', 'znieť', 'barmo', 'neskôr', 'zmenený', 'mjanmarsko', 'nasledovať', 'podrobnosť', 'jún', 'barmský', 'vojenský', 'vláda', 'nahradiť', 'anglický', 'názov', 'burma', 'slovenský', 'ekvivalent', 'barmo', 'anglickým', 'názov', 'myanmar', 'predstaviteľ', 'režim', 'zdôvodniť', 'názov', 'burma', 'koloniálny', 'pôvod', 'štát', 'svet', 'zmena', 'názov', 'prijať', 'opozičný', 'strana', 'organizácia', 'menšinový', 'národnosť', 'odmietnuť', 'zákonný', 'svetový', 'odborný', 'zdroj', 'prostriedok', 'otázka', 'jednotný', 'slovensko', 'oficiálny', 'úroveň', 'premenovanie', 'uznať', 'úroveň', 'oficiálny', 'kodifikácia', 'geografický', 'názvosl', 'lt', 'nať', 'gt', 'citácia', 'elektronický', 'dokument', 'titúť', 'mjanmarsko', 'url', 'dátu', 'vydanie', 'dátu', 'aktualizácia', 'dátu', 'prístup', 'úrad', 'geodézia', 'kartografia', 'kataster', 'slovenský', 'republika', 'bratislava', 'úroveň', 'ministerstvo', 'zahraničný', 'vec', 'lt', 'nať', 'mzv', 'gt', 'citácia', 'elektronický', 'dokument', 'odkaz', 'autor', 'titúť', 'mjanmarsko', 'url', 'dátu', 'vydanie', 'dátu', 'aktualizácia', 'dátu', 'prístup', 'ministerstvo', 'zahraničný', 'vec', 'európsky', 'záležitosť', 'slovenský', 'republika', 'bratislava', 'prehľad', 'slovenský', 'názv', 'rokom', 'vzniký', 'samostatný', 'štát', 'územie', 'slovenčina', 'označovať', 'burma', 'birma', 'barmo', 'birma', 'in', 'citácia', 'kniha', 'pavel', 'bujnák', 'titúť', 'slovenský', 'náučný', 'slovník', 'odkaz', 'titúť', 'slovenský', 'náučný', 'slovník', 'zväzok', 'bratislava', 'prah', 'litevny', 'rok', 'počet', 'strana', 'strana', 'rangun', 'in', 'citácia', 'kniha', 'pavel', 'bujnák', 'titúť', 'slovenský', 'náučný', 'slovník', 'zväzok', 'iii', 'bratislava', 'prah', 'vydavateľ', 'rok', 'počet', 'strana', 'strana', 'nať', 'dv', 'gt', 'dvonč', 'zdomácnený', 'nezdomácnený', 'cudzí', 'vlastný', 'meno', 'spisovný', 'slovenčina', 'in', 'slovenský', 'reč', 'obdobie', 'slovensko', 'oficiálne', 'rok', 'štát', 'označovať', 'krátky', 'tvar', 'barmo', 'rook', 'písaný', 'burma', 'barmo', 'in', 'citácia', 'kniha', 'peciar', 'titúť', 'slovník', 'slovenský', 'jazyk', 'odkaz', 'titúť', 'slovník', 'slovenský', 'jazyk', 'peciar', 'zväzok', 'vydanie', 'bratislava', 'vydavateľstv', 'slovenský', 'akadémia', 'rok', 'počet', 'strana', 'url', 'strana', 'lt', 'nať', 'dv', 'vyhláška', 'zb', 'ministra', 'zahraničný', 'vec', 'júť', 'prístup', 'československý', 'republika', 'dohovor', 'výsada', 'imunita', 'organizácia', 'spojený', 'národ', 'schválený', 'valný', 'zhromaždenie', 'organizácia', 'spojený', 'národ', 'február', 'poznámka', 'vyhlášky', 'zb', 'použitý', 'tvar', 'barmo', 'resp', 'dlhý', 'tvar', 'barmský', 'zväz', 'rok', 'písaný', 'burmský', 'sväz', 'barmský', 'zväzový', 'socialistický', 'republika', 'socialistický', 'republika', 'barmský', 'zväz', 'barmo', 'in', 'pyramída', 'encyklopedický', 'časopis', 'nať', 'mb', 'barmský', 'in', 'citácia', 'kniha', 'alexandry', 'jarošový', 'klár', 'titul', 'slovník', 'súčasný', 'slovenský', 'jazyk', 'odkaz', 'titúť', 'slovník', 'súčasný', 'slovenský', 'jazyk', 'zväzok', 'bratislava', 'vydavateľ', 'vydavateľstvo', 'slovenský', 'akadémia', 'veda', 'rok', 'url', 'počet', 'strana', 'strana', 'nať', 'ra', 'gt', 'citácia', 'elektronický', 'dokument', 'meno', 'autor', 'odkaz', 'autor', 'titúť', 'countries', 'url', 'vydavateľ', 'org', 'dátu', 'vydanie', 'dátu', 'aktualizácia', 'dátu', 'prístup', 'jazyk', 'citácia', 'kniha', 'meno', 'autor', 'odkaz', 'autor', 'titúť', 'veda', 'vydanie', 'slovenský', 'akademium', 'miesto', 'rok', 'počet', 'strana', 'url', 'isbn', 'kapitola', 'strana', 'jazyk', 'nať', 'citácia', 'periodika', 'priezvisko', 'hegerový', 'meno', 'katarína', 'odkaz', 'autor', 'titúť', 'barmo', 'periodikum', 'kultúra', 'odkaz', 'periodiku', 'rok', 'ročník', 'číslo', 'strana', 'url', 'dátu', 'prístup', 'issn', 'obdobie', 'polooficiálne', 'používať', 'krátky', 'tvar', 'doslovne', 'prevzatý', 'angličtina', 'tvar', 'myanmar', 'resp', 'dlhý', 'tvar', 'myanmarský', 'zväz', 'tvar', 'myanmar', 'ojedinele', 'používať', 'rok', 'lt', 'nať', 'mb', 'gt', 'myanmar', 'in', 'citácia', 'kniha', 'titúť', 'malý', 'slovenský', 'encyklopédie', 'odkaz', 'titúť', 'malý', 'slovenský', 'encyklopédie', 'vydanie', 'bratislava', 'encyklopedický', 'ústav', 'saviť', 'publishers', 'rok', 'počet', 'strana', 'strana', 'citácia', 'kniha', 'meno', 'autor', 'odkaz', 'autor', 'titul', 'statisticať', 'slovak', 'republic', 'vydanie', 'štatistický', 'úrad', 'slovenský', 'republika', 'bratislava', 'rok', 'počet', 'strana', 'url', 'isbn', 'kapitola', 'strana', 'jazyk', 'citácia', 'kniha', 'priezvisko', 'krup', 'meno', 'viktor', 'odkaz', 'autor', 'viktor', 'krup', 'priezvisko', 'genzor', 'meno', 'odkaz', 'autor', 'genzor', 'titúť', 'jazyk', 'svet', 'priestora', 'čas', 'vydanie', 'typ', 'vydanie', 'dopť', 'vydavateľ', 'veda', 'bratislava', 'rok', 'počet', 'strana', 'strana', 'nať', 'citácia', 'periodika', 'priezvisko', 'gráca', 'meno', 'róbert', 'priezvisko', 'slavík', 'meno', 'vladimír', 'titúť', 'priestorový', 'aspekt', 'formovanie', 'sedieť', 'zastupiteľský', 'úrad', 'kontext', 'zahraničný', 'politika', 'slovenský', 'republika', 'periodikum', 'geografický', 'časopis', 'odkaz', 'periodiku', 'geografický', 'ústav', 'saviť', 'bratislava', 'rok', 'ročník', 'číslo', 'strana', 'url', 'dátu', 'prístup', 'issn', 'rok', 'slovensko', 'oficiálne', 'záväzne', 'používať', 'tvar', 'resp', 'dlhý', 'tvar', 'mjanmarský', 'zväz', 'vyplýv', 'normovanie', 'záväzný', 'zoznam', 'geodézia', 'kartografia', 'kataster', 'slovenský', 'republika', 'sr', 'krátky', 'tvar', 'jazykový', 'kodifikácia', 'pravidlý', 'slovenský', 'pravopis', 'pravidlo', 'slovenský', 'pravopis', 'mjanmarsky', 'slovensko', 'oficiálne', 'dlhý', 'tvar', 'zmenený', 'mjanmarský', 'zväzový', 'republika', 'krátky', 'tvar', 'zostať', 'zmena', 'lt', 'ref', 'nať', 'gt', 'lt', 'nať', 'gz', 'gt', 'citácia', 'elektronický', 'dokument', 'priezvisko', 'meno', 'odkaz', 'autor', 'titúť', 'zoznam', 'zmenený', 'názv', 'url', 'dátu', 'vydanie', 'dátu', 'aktualizácia', 'dátu', 'prístup', 'úrad', 'geodézia', 'kartografia', 'kataster', 'slovenský', 'republika', 'bratislava', 'mjanmarsko', 'in', 'citácia', 'kniha', 'titúť', 'pravidlo', 'slovenský', 'pravopis', 'odkaz', 'titúť', 'pravidlo', 'slovenský', 'pravopis', 'vydanie', 'typ', 'vydanie', 'upr', 'dopť', 'bratislava', 'vydavateľ', 'veda', 'rok', 'počet', 'strana', 'url', 'strana', 'lt', 'ref', 'gt', 'lt', 'ref', 'nať', 'nať', 'nať', 'ra', 'gt', 'tvar', 'používaný', 'rok', 'rozpora', 'vysoko', 'uvedený', 'normovaný', 'kodifikovaný', 'myanmar', 'podrobnosť', 'pozrieť', 'vysoko', 'jazykovedec', 'rok', 'odporúčať', 'používať', 'tvar', 'dlhý', 'tvar', 'mjanmárska', 'zväz', 'resp', 'mjanmársky', 'zväzový', 'republika', 'tvar', 'zriedkavý', 'lt', 'citácia', 'periodika', 'priezvisko', 'rumánek', 'meno', 'titul', 'pravopis', 'používanie', 'ázijský', 'slovo', 'slovenčin', 'periodikum', 'slovenský', 'reč', 'odkaz', 'rka', 'mesiac', 'ročník', 'číslo', 'strana', 'url', 'dátu', 'prístup', 'issn', 'citácia', 'kniha', 'anna', 'rácový', 'martina', 'buckový', 'jozef', 'genzor', 'titul', 'prepisovať', 'orientálny', 'jazyk', 'slovenčina', 'praktický', 'príručka', 'bratislava', 'vydavateľ', 'ústav', 'orientalistika', 'saviť', 'slovak', 'academic', 'rok', 'isbn', 'počet', 'strana', 'strana', 'zriedkavý', 'tvar', 'mjanmar', 'citácia', 'periodika', 'priezvisko', 'krup', 'meno', 'viktor', 'titúť', 'poznámka', 'normalizácia', 'regulácia', 'jazyk', 'periodiku', 'filozofia', 'odkaz', 'periodikum', 'vydavateľ', 'rok', 'ročník', 'číslo', 'strana', 'url', 'dátu', 'prístup', 'lt', 'ref', 'gt', 'neznalosť', 'správny', 'záväzný', 'slovenský', 'názov', 'vyjadrenie', 'politický', 'postáť', 'režim', 'mjanmarsko', 'občas', 'vyskytovať', 'tvar', 'barmo', 'citácia', 'elektronický', 'dokument', 'priezvisko', 'meno', 'autor', 'odkaz', 'autor', 'titúť', 'barmo', 'url', 'vydavateľ', 'dátu', 'vydanie', 'dátu', 'aktualizácia', 'dátu', 'prístup', 'jazyk', 'geografia', 'hraničiť', 'bangladéš', 'federálny', 'štát', 'mizorať', 'manípur', 'nágsko', 'arunáčalpradéť', 'čína', 'číný', 'thajsko', 'indický', 'oceán', 'oceáný', 'smer', 'hodinový', 'ručička', 'začínať', 'západ', 'andamanský', 'more', 'oddeľovať', 'mjanmarsko', 'ležiaci', 'indický', 'zväzový', 'teritórium', 'andamany', 'mjanmarsko', 'nachádzať', 'výnimka', 'krajný', 'severa', 'oblasť', 'vplyv', 'ázijský', 'monzún', 'vplyv', 'reliéfa', 'jednotlivý', 'oblasť', 'monzún', 'nerovnomerny', 'ovplyvňovaný', 'podstata', 'rozlišovať', 'ročný', 'obdobie', 'obdobie', 'dážď', 'konca', 'polovica', 'október', 'chladný', 'ročný', 'obdobie', 'konca', 'koniec', 'marec', 'horúci', 'ročný', 'obdobie', 'apríl', 'máť', 'október', 'november', 'referencia', 'lt', 'references', 'commonscat', 'myanmar', 'zoznať', 'odkaz', 'bečko', 'dějiny', 'barma', 'prah', 'nakladatelstviť', 'lidový', 'noviny', 'juhovýchodný', 'ází', 'wto', 'kategória', 'mjanmarsko', 'kategória', 'člen', 'kategória', 'člen', 'osn', 'kategória', 'juhovýchodný', 'ázia', 'kategória', 'štáty']"
869,Wikipédia:Príručka/Registrácia,"['príručka', 'registrácia', 'prihlásenie', 'vytvorenie', 'meno', 'povinný', 'odporúčaný', 'registrácia', 'povinný', 'príspevok', 'vítaný', 'ohľad', 'užívateľ', 'registrovaný', 'existujý', 'dôvod', 'zaregistrovať', 'všeobecný', 'výhoda', 'bezplatný', 'účet', 'poskytne', 'výhoda', 'vrátane', 'možnosť', 'úprava', 'stránka', 'užívateľský', 'nastavený', 'užitočný', 'možnosť', 'wikipedie', 'watchlist', 'sledovaný', 'článok', 'en', 'zjednoduý', 'sledovať', 'zmena', 'stránka', 'zaujímať', 'možnosť', 'en', 'wikipedie', 'renama', 'mov', 'paga', 'presúvanie', 'premenovanie', 'stránka', 'en', 'nepresúvať', 'článok', 'jednoducho', 'kopírovanie', 'obsah', 'stránka', 'nezachový', 'história', 'zmena', 'článok', 'identifikovaný', 'ip', 'ip', 'adresa', 'verejný', 'identifikátor', 'prípad', 'poskytne', 'príspevok', 'diskusia', 'číslo', 'adresa', 'hocikde', 'interť', 'použitý', 'získanie', 'informácii', 'registrácia', 'zvýšiť', 'úroveň', 'súkromie', 'ip', 'adresa', 'zobrazovať', 'zvolený', 'meno', 'ip', 'adresa', 'často', 'dočasne', 'pridelený', 'dhcp', 'point', 'point', 'protoknúť', 'ppp', 'užívateľ', 'ťažkosti', 'získať', 'rešpekt', 'uznať', 'prispievateľ', 'budovanie', 'meno', 'ip', 'stále', 'meniť', 'konverzácia', 'užívateľ', 'zložitý', 'neregistrovaný', 'užívateľ', 'stály', 'wikipédie', 'diskusný', 'stránka', 'diskusný', 'stránka', 'nakoniec', 'registrovanie', 'užívateľ', 'stať', 'wikip', 'die', 'sysop', 'lepší', 'dojem', 'wikipedián', 'považovať', 'registrácia', 'znak', 'väčší', 'ochota', 'stáť', 'zmený', 'príspevok', 'diskusia', 'znamenať', 'prispievať', 'prihlásený', 'príspevok', 'článok', 'diskusie', 'všeobecný', 'väčší', 'váha', 'zaregistrovať', 'registrácia', 'klikniť', 'link', 'pec', 'lne', 'userlogin', 'prihlásenie', 'pravý', 'horný', 'roh', 'stránka', 'stlačiť', 'tlačidlo', 'nízko', 'lt', 'center', 'gt', 'klikateľný', 'tlačidlo', 'pec', 'lne', 'vytvorenie', 'dt', 'registrácia', 'veľký', 'px', 'lt', 'center', 'gt', 'lt', 'br', 'gt', 'podrobny', 'informácia', 'výhoda', 'registrácia', 'nájsť', 'en', 'wikipedie', 'wha', 'creaty', 'account', 'angličtin', 'wikipédie', 'príručka', 'menné_priestor', 'pokračovať', 'čítaný', 'príručka', 'príručkaobsah', 'kategória', 'príručka', 'wikipédie']"
7582,Michel de Certeau,"['infobox', 'osobnosť', 'meno', 'michieť', 'da', 'certeaa', 'portrét', 'popis', 'francúzsky', 'historik', 'dátu', 'narodenie', 'máť', 'narodenie', 'chambéra', 'dátu', 'úmrtie', 'dúv', 'úmrtie', 'francúzsko', 'michieť', 'da', 'certeaa', 'máť', 'chambéra', 'paríž', 'francúzsky', 'historik', 'filozofia', 'blízka', 'filozofia', 'michieť', 'paul', 'foucault', 'foucaulta', 'derrida', 'derridu', 'emmanuieť', 'levinasa', 'diieť', 'výber', 'lo', 'prise', 'sť', 'parola', 'absent', 'de', 'histoir', 'paris', 'cultur', 'plurlo', 'paris', 'ecritur', 'de', 'histoir', 'politici', 'mistica', 'storie', 'miláno', 'unúť', 'politiqua', 'de', 'langua', 'lo', 'révolution', 'français', 'et', 'patois', 'da', 'grégoir', 'dominique', 'jacques', 'revieť', 'paris', 'lo', 'réveiť', 'amérique', 'latina', 'spoluautor', 'materny', 'paris', 'invention', 'da', 'quotidena', 'vnuť', 'arts', 'de', 'fair', 'paris', 'croir', 'une', 'pratiquy', 'da', 'différenec', 'urbino', 'histoir', 'et', 'entre', 'science', 'et', 'paris', 'pozrieť', 'kultúrny', 'kritika', 'externý', 'odkaz', 'anotovaný', 'bibliografia', 'de', 'certeaa', 'stránka', 'spoločnosť', 'de', 'certeaa', 'zdroj', 'filit', 'fvc', 'certeau_m_de', 'htmť', 'výhonok', 'filozof', 'defaultsort', 'certeaa', 'michieť', 'da', 'kategória', 'francúzsky', 'filozof', 'kategória', 'osobný', 'chambéra']"
2623,Štefánikova ulica,"['štefánikova', 'ulica', 'ulica', 'bardejova', 'pozrieť', 'štefánikov', 'ulica', 'bardej', 'pozrieť', 'štefánikov', 'ulica', 'bratislava', 'bytči', 'pozrieť', 'štefánikov', 'ulica', 'bytča', 'galant', 'štefánikov', 'ulica', 'galant', 'pozrieť', 'štefánikov', 'ulica', 'gbela', 'humenn', 'štefánikov', 'ulica', 'humenný', 'pozrieť', 'štefánikov', 'ulica', 'ilava', 'pozrieť', 'štefánikov', 'ulica', 'jelšava', 'kolárov', 'štefánikov', 'ulica', 'kolárov', 'košicie', 'štefánikov', 'ulica', 'košica', 'kráľovský', 'chlmec', 'pozrieť', 'štefánikov', 'ulica', 'kráľovský', 'chlmec', 'kút', 'štefánikov', 'ulica', 'kút', 'liptovský', 'mikuláš', 'pozrieť', 'štefánikov', 'ulica', 'michalovcie', 'pozrieť', 'štefánikov', 'ulica', 'michalovci', 'modr', 'pozrieť', 'štefánikov', 'ulica', 'modry', 'námestova', 'pozrieť', 'štefánikov', 'ulica', 'námestov', 'novák', 'pozrieť', 'štefánikov', 'ulica', 'novák', 'pozrieť', 'štefánikov', 'ulica', 'piešťana', 'poprade', 'pozrieť', 'štefánikova', 'ulica', 'prešov', 'pozrieť', 'štefánikov', 'ulica', 'preš', 'štefánikov', 'ulica', 'púch', 'senec', 'pozrieť', 'štefánikov', 'ulica', 'senec', 'senica', 'pozrieť', 'štefánikov', 'ulica', 'senica', 'skalica', 'pozrieť', 'štefánikov', 'ulica', 'skalici', 'sobrancie', 'štefánikov', 'ulica', 'sobranci', 'spišský', 'belej', 'pozrieť', 'štefánikov', 'ulica', 'spišský', 'belý', 'spišský', 'podhradý', 'pozrieť', 'štefánikov', 'ulica', 'spišský', 'podhradie', 'starý', 'pozr', 'štefánikov', 'ulica', 'starý', 'turý', 'stropkova', 'štefánikov', 'ulica', 'stropk', 'svit', 'pozrieť', 'štefánikov', 'ulica', 'svit', 'štúrov', 'pozrieť', 'štefánikov', 'ulica', 'štúrov', 'pozrieť', 'štefánikov', 'ulica', 'trnava', 'zlatý', 'moravcie', 'štefánikov', 'ulica', 'zlatý', 'moravec', 'bývalý', 'názov', 'zaniknutý', 'ulica', 'petržalke', 'pozrieť', 'zväzácko', 'ulica', 'bývalý', 'názov', 'zaniknutý', 'ulica', 'petržalka', 'pozrieť', 'rastlinný', 'ulica', 'pozrieť', 'námestie', 'generála', 'štefánika', 'štefánika', 'štefánikov', 'ulica', 'štefánika', 'ulica', 'štefánika', 'rozlišovacia', 'stránka', 'kategória', 'rozlišovacia', 'stránka', 'kategória', 'ulica', 'pomenovaný', 'milany', 'rastislava', 'štefánika']"
895,Kategória:Narodenia v 1818,"['narodenie', 'rok', 'commonscat']"
10448,Kategória:4 pred Kr.,"['commonscat', 'catmora', 'kategória', 'rok', 'storočie']"
7395,Angelus Silesius,"['infobox', 'osobnosť', 'meno', 'nemecko', 'nemecký', 'mystik', 'básnik', 'narodenie', 'december', 'narodenie', 'vroclaviť', 'dátu', 'úmrtie', 'dúv', 'úmrtie', 'vroclaviť', 'poľsko', 'silesius', 'vť', 'meno', 'johannes', 'december', 'vroclav', 'poľsko', 'júť', 'vroclav', 'nemecko', 'nemecký', 'panteizmus', 'panteistický', 'mystik', 'významný', 'nemecký', 'barka', 'ový', 'básnik', 'protestantizmus', 'protestantizmus', 'prestúpiť', 'katolicizmus', 'katolicizmus', 'vášnivo', 'zapojiť', 'protireformácia', 'protireformácia', 'rok', 'stať', 'františkán', 'františkáný', 'fil', 'silesius', 'des', 'silesius', 'cherubinischer', 'beic', 'thumb', 'des', 'silesius', 'cherubinischer', 'wandersmann', 'commonscat', 'angelus', 'silesius', 'externý', 'odkaz', 'filit', 'fva', 'htmť', 'biografický', 'výhonok', 'defaultsort', 'silesius', 'nemecký', 'filozof', 'nemecký', 'spisovateľ', 'kategória', 'osobný', 'vroclava']"
11153,Kategória:Optika,"['catmora', 'optika', 'odbor', 'commonscat', 'kategória', 'fyzika']"
